Latitude,Longitude,Altitude,Vertical Speed,MTE_Value,RA
  32.785675, -96.774939, 2025,  -64,  32.785675, Clear of Conflict; TIDh: a05458
           ,           ,     ,     ,           , Clear of Conflict
           ,           ,     ,     ,           , Clear of Conflict
  32.337204,-110.643365, 7500,  128,  32.337204, RA: Monitor vertical Speed
  32.337479,-110.643530, 7500,  -64,  32.337479, RA: Monitor vertical Speed
  32.338862,-110.644656, 7525,  384,  32.338862, RA: Monitor vertical Speed
  32.339172,-110.644958, 7525,  256,  32.339172, RA: Monitor vertical Speed
  32.339514,-110.645272, 7500, -512,  32.339514, RA: Monitor vertical Speed
  32.340119,-110.645889, 7500,    0,  32.340119, RA: Monitor vertical Speed
  32.340678,-110.646506, 7500,  256,  32.340678, RA: Monitor vertical Speed
  32.340678,-110.646506, 7500,  256,  32.340678, Clear of Conflict
  32.341827,-110.647980, 7500, -320,  32.341827, RA: Monitor vertical Speed
  32.341827,-110.647980, 7500, -320,  32.341827, RA: Monitor vertical Speed
  32.342074,-110.648355, 7500, -320,  32.342074, RA: Monitor vertical Speed
  32.342074,-110.648355, 7500, -640,  32.342074, RA: Monitor vertical Speed
  32.342586,-110.649084, 7500,  -64,  32.342586, RA: Monitor vertical Speed
  32.342866,-110.649532, 7500,  -64,  32.342866, RA: Monitor vertical Speed
  32.343338,-110.650397, 7500, -128,  32.343338, RA: Monitor vertical Speed
  32.343338,-110.650397, 7500, -128,  32.343338, RA: Monitor vertical Speed
  32.343843,-110.651214, 7475, -128,  32.343843, RA: Level Off
  32.343983,-110.651550, 7475, -384,  32.343983, RA: Level Off
  32.344402,-110.652335, 7475, -192,  32.344402, RA: Level Off
  32.344634,-110.652840, 7475, -448,  32.344634, RA: Level Off
  32.344774,-110.653176, 7475, -448,  32.344774, RA: Level Off
  32.345147,-110.653961, 7475, -192,  32.345147, RA: Level Off
  32.345333,-110.654465, 7450, -320,  32.345333, RA: Level Off
  32.345535,-110.654901, 7450, -320,  32.345535, RA: Level Off
  32.345985,-110.655922, 7450, -640,  32.345985, RA: Level Off
  32.346130,-110.656329, 7450,    0,  32.346130, RA: Level Off
  32.346497,-110.657153, 7450, -384,  32.346497, RA: Level Off
  32.346869,-110.658052, 7450, -512,  32.346869, RA: Level Off
  32.347000,-110.658472, 7450, -128,  32.347000, RA: Level Off
  32.347335,-110.659230, 7450,  128,  32.347335, RA: Level Off
  32.347660,-110.660014, 7450, -256,  32.347660, RA: Level Off
  32.347660,-110.660014, 7450, -384,  32.347660, RA: Level Off
  32.348145,-110.661273, 7425,    0,  32.348145, RA: Level Off
  32.348145,-110.661273, 7425,    0,  32.348145, RA: Level Off
  32.348498,-110.662144, 7425,   64,  32.348498, RA: Level Off
  32.348648,-110.662537, 7425, -256,  32.348648, RA: Level Off
  32.348648,-110.662537, 7425, -256,  32.348648, RA: Level Off
